survey_answer_key,survey_question_key,encounter_key,provider_durable_key,numeric_response,is_answered,source_top_box_flag,valid_flag
500099,ACCESS_Q1,118303,50033,5,1,1,1
500100,ACCESS_Q3,140563,50044,5,1,1,1
500101,ACCESS_Q3,115001,50065,4,1,0,1
500102,ACCESS_Q4,144995,50060,5,1,1,1
500103,ACCESS_Q1,143493,50036,5,1,1,1
500104,ACCESS_Q4,125540,50063,5,1,1,1
500105,ACCESS_Q4,143133,50056,5,1,1,1
500106,ACCESS_Q1,121635,50075,5,1,1,1
500107,ACCESS_Q3,142380,50044,5,1,1,1
500108,ACCESS_Q2,139857,50003,5,1,1,1
500109,ACCESS_Q3,115022,50065,5,1,1,1
500110,ACCESS_Q4,138259,50026,4,1,0,1
500111,ACCESS_Q2,136829,50074,5,1,1,1
500112,ACCESS_Q2,138282,50053,4,1,0,1
500113,ACCESS_Q1,137253,50010,4,1,0,1
500114,ACCESS_Q1,138306,50033,5,1,1,1
500115,ACCESS_Q3,122535,50072,5,1,1,1
500116,ACCESS_Q1,131268,50004,5,1,1,1
500117,ACCESS_Q1,123274,50056,5,1,1,1
500118,ACCESS_Q2,135277,50036,3,1,0,1
500119,ACCESS_Q1,126191,50033,3,1,0,1
500120,ACCESS_Q1,144942,50035,4,1,0,1
500121,ACCESS_Q2,135249,50018,5,1,1,1
500122,ACCESS_Q1,120337,50042,4,1,0,1
500123,ACCESS_Q2,122577,50040,5,1,1,1
500124,ACCESS_Q4,139074,50056,1,1,0,1
500125,OTHER_Q1,121214,50023,5,1,1,1
500126,ACCESS_Q2,119282,50047,5,1,1,1
500127,ACCESS_Q1,132452,50010,5,1,1,1
500128,ACCESS_Q4,142466,50017,5,1,1,1
500129,ACCESS_Q1,130454,50015,5,1,1,1
500130,ACCESS_Q3,130222,50057,5,1,1,1
500131,ACCESS_Q1,122012,50036,5,1,1,1
500132,ACCESS_Q3,116574,50071,5,1,1,1
500133,ACCESS_Q3,135853,50011,5,1,1,1
500134,ACCESS_Q1,143830,50043,5,1,1,1
500135,ACCESS_Q3,116033,50009,5,1,1,1
500136,ACCESS_Q2,116701,50036,5,1,1,1
500137,ACCESS_Q3,140077,50055,5,1,1,1
500138,ACCESS_Q3,129428,50056,5,1,1,1
500139,ACCESS_Q2,119264,50003,5,1,1,1
500140,ACCESS_Q2,136008,50057,5,1,1,1
500141,ACCESS_Q1,120742,50034,5,1,1,1
500142,ACCESS_Q2,114327,50026,2,1,0,1
500143,ACCESS_Q2,127992,50026,5,1,1,1
500144,ACCESS_Q3,143096,50072,5,1,1,1
500145,ACCESS_Q2,126672,50042,5,1,1,1
500146,ACCESS_Q2,119898,50077,5,1,1,1
500147,ACCESS_Q4,117567,50030,5,1,1,1
500148,ACCESS_Q4,140860,50008,4,1,0,1
500149,ACCESS_Q1,120190,50036,5,1,1,1
500150,ACCESS_Q2,133489,50047,5,1,1,1
500151,ACCESS_Q2,136668,50023,5,1,1,1
500152,ACCESS_Q3,122398,50056,5,1,1,1
500153,ACCESS_Q2,144541,50032,5,1,1,1
500154,ACCESS_Q2,127073,50044,5,1,1,1
500155,ACCESS_Q1,129271,50062,5,1,1,1
500156,ACCESS_Q2,133494,50003,5,1,1,1
500157,ACCESS_Q3,137605,50072,3,1,0,1
500158,ACCESS_Q1,143180,50011,3,1,0,1
500159,ACCESS_Q4,116460,50069,5,1,1,1
500160,ACCESS_Q3,125843,50049,5,1,1,1
500161,ACCESS_Q3,128045,50032,5,1,1,1
500162,ACCESS_Q4,139386,50065,2,1,0,1
500163,ACCESS_Q4,144824,50039,5,1,1,1
500164,ACCESS_Q4,133121,50018,5,1,1,1
500165,ACCESS_Q1,144573,50063,5,1,1,1
500166,ACCESS_Q4,124971,50045,5,1,1,1
500167,ACCESS_Q4,138544,50050,5,1,1,1
500168,ACCESS_Q3,123768,50073,5,1,1,1
500169,ACCESS_Q2,119062,50025,5,1,1,1
500170,ACCESS_Q4,128954,50001,4,1,0,1
500171,ACCESS_Q4,122116,50022,5,1,1,1
500172,ACCESS_Q2,127779,50079,5,1,1,1
500173,OTHER_Q1,141272,50077,1,1,0,1
500174,ACCESS_Q1,134230,50052,5,1,1,1
500175,ACCESS_Q1,131418,50014,5,1,1,1
500176,ACCESS_Q4,137775,50075,4,1,0,1
500177,ACCESS_Q2,114483,50056,4,1,0,1
500178,ACCESS_Q4,120916,50040,5,1,1,1
500179,ACCESS_Q1,126691,50039,5,1,1,1
500180,ACCESS_Q4,139452,50007,4,1,0,1
500181,ACCESS_Q3,137328,50001,4,1,0,1
500182,ACCESS_Q1,134878,50057,5,1,1,1
500183,ACCESS_Q2,113994,50077,5,1,1,1
500184,ACCESS_Q4,135524,50071,5,1,1,1
500185,ACCESS_Q3,136367,50077,5,1,1,1
500186,ACCESS_Q3,138111,50054,5,1,1,1
500187,ACCESS_Q3,137425,50047,5,1,1,1
500188,ACCESS_Q3,131874,50052,5,1,1,1
500189,ACCESS_Q1,138248,50011,5,1,1,1
500190,ACCESS_Q4,129940,50033,5,1,1,1
500191,ACCESS_Q1,131253,50045,5,1,1,1
500192,ACCESS_Q1,133180,50074,4,1,0,1
500193,ACCESS_Q3,137798,50058,5,1,1,1
500194,ACCESS_Q1,122761,50052,3,1,0,1
500195,ACCESS_Q3,135506,50026,5,1,1,1
500196,ACCESS_Q3,126389,50029,5,1,1,1
500197,ACCESS_Q4,136409,50031,5,1,1,1
500198,ACCESS_Q2,132147,50045,5,1,1,1
500199,ACCESS_Q1,128826,50036,3,1,0,1
500200,ACCESS_Q2,121580,50014,5,1,1,1
500201,ACCESS_Q1,120380,50045,5,1,1,1
500202,ACCESS_Q2,137282,50026,5,1,1,1
500203,ACCESS_Q3,115684,50018,5,1,1,1
500204,ACCESS_Q3,133632,50032,2,1,0,1
500205,ACCESS_Q3,135026,50029,5,1,1,1
500206,ACCESS_Q4,115065,50039,5,1,1,1
500207,ACCESS_Q1,137058,50063,5,1,1,1
500208,OTHER_Q1,143861,50003,5,1,1,1
500209,ACCESS_Q2,130204,50071,5,1,1,1
500210,ACCESS_Q2,123920,50056,3,1,0,1
500211,ACCESS_Q3,141896,50027,2,1,0,1
500212,ACCESS_Q4,133547,50053,5,1,1,1
500213,ACCESS_Q4,136305,50036,5,1,1,1
500214,OTHER_Q1,124823,50053,5,1,1,1
500215,OTHER_Q1,124927,50056,5,1,1,1
500216,ACCESS_Q4,123795,50071,5,1,1,1
500217,ACCESS_Q3,130318,50028,3,1,0,1
500218,ACCESS_Q2,125258,50066,5,1,1,1
500219,ACCESS_Q2,116699,50039,5,1,1,1
500220,ACCESS_Q1,143473,50056,5,1,1,1
500221,ACCESS_Q4,143729,50078,5,1,1,1
500222,ACCESS_Q3,127937,50039,5,1,1,1
500223,ACCESS_Q1,117633,50075,3,1,0,1
500224,ACCESS_Q2,139945,50018,5,1,1,1
500225,ACCESS_Q3,130163,50053,5,1,1,1
500226,ACCESS_Q3,124179,50069,5,1,1,1
500227,ACCESS_Q1,135840,50026,5,1,1,1
500228,ACCESS_Q2,132053,50036,5,1,1,1
500229,ACCESS_Q2,140111,50041,5,1,1,1
500230,ACCESS_Q1,124236,50045,5,1,1,1
500231,ACCESS_Q4,129713,50039,5,1,1,1
500232,ACCESS_Q3,135982,50069,5,1,1,1
500233,ACCESS_Q2,125500,50001,5,1,1,1
500234,ACCESS_Q2,140819,50057,4,1,0,1
500235,ACCESS_Q4,137782,50031,5,1,1,1
500236,ACCESS_Q2,144086,50004,3,1,0,1
500237,ACCESS_Q2,144078,50056,5,1,1,1
500238,ACCESS_Q2,115312,50063,5,1,1,1
500239,ACCESS_Q4,142611,50022,5,1,1,1
500240,ACCESS_Q1,120782,50010,3,1,0,1
500241,ACCESS_Q1,141257,50041,5,1,1,1
500242,ACCESS_Q1,143650,50067,5,1,1,1
500243,ACCESS_Q3,136254,50045,5,1,1,1
500244,ACCESS_Q2,123480,50016,2,1,0,1
500245,ACCESS_Q2,121532,50079,5,1,1,1
500246,ACCESS_Q1,139291,50069,5,1,1,1
500247,ACCESS_Q2,135965,50049,4,1,0,1
500248,ACCESS_Q2,119536,50062,5,1,1,1
500249,ACCESS_Q2,143326,50022,5,1,1,1
500250,ACCESS_Q2,134803,50077,5,1,1,1
500251,OTHER_Q1,117754,50071,5,1,1,1
500252,ACCESS_Q1,127551,50044,5,1,1,1
500253,ACCESS_Q2,143361,50011,5,1,1,1
500254,ACCESS_Q3,114667,50069,5,1,1,1
500255,ACCESS_Q2,116004,50029,5,1,1,1
500256,OTHER_Q1,122000,50080,5,1,1,1
500257,ACCESS_Q1,142027,50001,5,1,1,1
500258,ACCESS_Q3,142325,50077,1,1,0,1
500259,ACCESS_Q4,144309,50038,5,1,1,1
500260,ACCESS_Q1,131885,50041,5,1,1,1
500261,ACCESS_Q4,117310,50018,4,1,0,1
500262,ACCESS_Q3,134153,50020,5,1,1,1
500263,ACCESS_Q2,135622,50040,5,1,1,1
500264,ACCESS_Q2,132243,50042,5,1,1,1
500265,ACCESS_Q3,127814,50074,5,1,1,1
500266,ACCESS_Q4,120591,50009,5,1,1,1
500267,ACCESS_Q1,143241,50035,4,1,0,1
500268,ACCESS_Q2,131681,50029,5,1,1,1
500269,ACCESS_Q4,133971,50053,5,1,1,1
500270,ACCESS_Q2,125655,50026,3,1,0,1
500271,ACCESS_Q4,137944,50055,5,1,1,1
500272,ACCESS_Q3,137670,50032,5,1,1,1
500273,ACCESS_Q4,115642,50039,5,1,1,1
500274,ACCESS_Q4,134086,50028,5,1,1,1
500275,ACCESS_Q4,141581,50003,5,1,1,1
500276,ACCESS_Q3,141734,50003,5,1,1,1
500277,ACCESS_Q4,131088,50041,5,1,1,1
500278,ACCESS_Q4,140742,50008,5,1,1,1
500279,ACCESS_Q4,142679,50003,2,1,0,1
500280,ACCESS_Q3,118743,50004,3,1,0,1
500281,ACCESS_Q1,128561,50074,5,1,1,1
500282,ACCESS_Q3,127883,50018,5,1,1,1
500283,ACCESS_Q4,114860,50080,5,1,1,1
500284,ACCESS_Q2,138554,50044,5,1,1,1
500285,OTHER_Q1,119861,50039,5,1,1,1
500286,ACCESS_Q1,121398,50021,4,1,0,1
500287,ACCESS_Q2,136918,50059,5,1,1,1
500288,OTHER_Q1,142056,50053,5,1,1,1
500289,ACCESS_Q3,127955,50018,5,1,1,1
500290,ACCESS_Q4,135639,50063,5,1,1,1
500291,ACCESS_Q3,135562,50002,5,1,1,1
500292,ACCESS_Q1,132097,50054,5,1,1,1
500293,ACCESS_Q3,141359,50009,5,1,1,1
500294,OTHER_Q1,119797,50056,5,1,1,1
500295,ACCESS_Q2,140315,50077,4,1,0,1
500296,ACCESS_Q2,135925,50045,4,1,0,1
500297,ACCESS_Q3,144972,50008,5,1,1,1
500298,ACCESS_Q3,118937,50008,4,1,0,1
500299,ACCESS_Q3,133900,50034,2,1,0,1
500300,OTHER_Q1,113984,50039,5,1,1,1
500301,ACCESS_Q4,125453,50078,5,1,1,1
500302,ACCESS_Q3,134608,50007,5,1,1,1
500303,ACCESS_Q3,126694,50008,5,1,1,1
500304,ACCESS_Q1,139348,50005,5,1,1,1
500305,ACCESS_Q2,118395,50068,5,1,1,1
500306,ACCESS_Q1,116333,50007,5,1,1,1
500307,ACCESS_Q1,122010,50028,5,1,1,1
500308,ACCESS_Q2,133321,50034,4,1,0,1
500309,ACCESS_Q3,121783,50057,4,1,0,1
500310,ACCESS_Q3,113973,50068,5,1,1,1
500311,ACCESS_Q3,137515,50039,5,1,1,1
500312,ACCESS_Q2,115936,50007,3,1,0,1
500313,OTHER_Q1,125780,50069,3,1,0,1
500314,ACCESS_Q2,129093,50007,3,1,0,1
500315,ACCESS_Q1,136677,50072,4,1,0,1
500316,ACCESS_Q1,139190,50016,3,1,0,1
500317,ACCESS_Q4,141854,50049,5,1,1,1
500318,ACCESS_Q1,123345,50056,3,1,0,1
500319,ACCESS_Q2,134672,50044,5,1,1,1
500320,OTHER_Q1,125595,50070,5,1,1,1
500321,ACCESS_Q1,132901,50017,5,1,1,1
500322,ACCESS_Q4,129714,50035,5,1,1,1
500323,ACCESS_Q1,140376,50058,5,1,1,1
500324,ACCESS_Q1,131049,50011,5,1,1,1
500325,ACCESS_Q4,116817,50004,5,1,1,1
500326,ACCESS_Q3,137488,50041,5,1,1,1
500327,ACCESS_Q4,128249,50078,5,1,1,1
500328,ACCESS_Q1,120552,50056,5,1,1,1
500329,ACCESS_Q3,139951,50039,3,1,0,1
500330,ACCESS_Q3,115992,50077,5,1,1,1
500331,ACCESS_Q3,144212,50026,4,1,0,1
500332,ACCESS_Q2,122344,50018,5,1,1,1
500333,ACCESS_Q4,125417,50036,5,1,1,1
500334,ACCESS_Q2,116917,50066,5,1,1,1
500335,ACCESS_Q3,115740,50074,4,1,0,1
500336,ACCESS_Q4,132233,50025,5,1,1,1
500337,ACCESS_Q4,122686,50069,5,1,1,1
500338,ACCESS_Q1,133366,50066,5,1,1,1
500339,ACCESS_Q4,132349,50029,5,1,1,1
500340,ACCESS_Q1,119765,50069,3,1,0,1
500341,ACCESS_Q3,137084,50076,5,1,1,1
500342,ACCESS_Q1,116391,50031,5,1,1,1
500343,ACCESS_Q3,125117,50080,5,1,1,1
500344,ACCESS_Q4,118742,50062,5,1,1,1
500345,ACCESS_Q2,115808,50001,5,1,1,1
500346,ACCESS_Q3,122161,50051,5,1,1,1
500347,ACCESS_Q3,122126,50035,5,1,1,1
500348,ACCESS_Q3,120622,50021,4,1,0,1
500349,ACCESS_Q1,128263,50040,5,1,1,1
500350,ACCESS_Q2,128492,50024,4,1,0,1
500351,ACCESS_Q1,135924,50051,1,1,0,1
500352,ACCESS_Q1,134451,50032,5,1,1,1
500353,ACCESS_Q1,141951,50058,3,1,0,1
500354,OTHER_Q1,144312,50057,5,1,1,1
500355,ACCESS_Q2,130652,50008,5,1,1,1
500356,ACCESS_Q3,128081,50055,4,1,0,1
500357,ACCESS_Q3,136677,50072,5,1,1,1
500358,OTHER_Q1,139205,50053,5,1,1,1
500359,ACCESS_Q4,123214,50029,4,1,0,1
500360,ACCESS_Q4,130377,50039,5,1,1,1
500361,ACCESS_Q4,125841,50066,5,1,1,1
500362,ACCESS_Q1,127174,50068,5,1,1,1
500363,ACCESS_Q2,116055,50008,5,1,1,1
500364,ACCESS_Q3,119429,50052,5,1,1,1
500365,ACCESS_Q4,128595,50003,5,1,1,1
500366,ACCESS_Q3,142305,50045,5,1,1,1
500367,ACCESS_Q2,134938,50039,5,1,1,1
500368,ACCESS_Q2,133498,50017,3,1,0,1
500369,ACCESS_Q1,143861,50003,5,1,1,1
500370,ACCESS_Q2,142672,50054,5,1,1,1
500371,ACCESS_Q2,121164,50010,3,1,0,1
500372,ACCESS_Q3,124254,50016,5,1,1,1
500373,ACCESS_Q2,121406,50027,5,1,1,1
500374,ACCESS_Q1,133560,50007,5,1,1,1
500375,ACCESS_Q4,123880,50078,5,1,1,1
500376,ACCESS_Q1,129157,50036,2,1,0,1
500377,ACCESS_Q4,132645,50011,1,1,0,1
500378,ACCESS_Q2,115160,50055,5,1,1,1
500379,ACCESS_Q4,118505,50009,5,1,1,1
500380,ACCESS_Q3,120301,50029,4,1,0,1
500381,ACCESS_Q3,136587,50066,5,1,1,1
500382,ACCESS_Q1,141773,50074,5,1,1,1
500383,ACCESS_Q3,140278,50009,5,1,1,1
500384,ACCESS_Q1,126189,50041,5,1,1,1
500385,ACCESS_Q1,143305,50073,5,1,1,1
500386,ACCESS_Q4,126880,50025,5,1,1,1
500387,ACCESS_Q3,132038,50072,5,1,1,1
500388,ACCESS_Q4,119545,50070,5,1,1,1
500389,ACCESS_Q4,123643,50030,5,1,1,1
500390,ACCESS_Q4,134589,50045,5,1,1,1
500391,ACCESS_Q3,142505,50052,4,1,0,1
500392,ACCESS_Q4,138835,50047,5,1,1,1
500393,ACCESS_Q2,129592,50058,5,1,1,1
500394,ACCESS_Q2,141765,50033,5,1,1,1
500395,ACCESS_Q3,116563,50003,5,1,1,1
500396,ACCESS_Q3,119598,50057,5,1,1,1
500397,ACCESS_Q1,130488,50009,4,1,0,1
500398,ACCESS_Q1,116206,50045,5,1,1,1
500399,ACCESS_Q3,128178,50055,5,1,1,1
500400,ACCESS_Q2,116967,50074,5,1,1,1
500401,OTHER_Q1,128213,50059,5,1,1,1
500402,ACCESS_Q1,135363,50053,5,1,1,1
500403,ACCESS_Q1,134823,50009,5,1,1,1
500404,ACCESS_Q3,125975,50040,5,1,1,1
500405,ACCESS_Q1,116875,50039,5,1,1,1
500406,OTHER_Q1,141816,50015,3,1,0,1
500407,ACCESS_Q4,142373,50028,3,1,0,1
500408,ACCESS_Q4,131346,50032,2,1,0,1
500409,ACCESS_Q2,127998,50036,5,1,1,1
500410,ACCESS_Q3,142649,50025,5,1,1,1
500411,ACCESS_Q1,138742,50017,5,1,1,1
500412,ACCESS_Q4,119705,50054,4,1,0,1
500413,ACCESS_Q2,137334,50018,5,1,1,1
500414,ACCESS_Q2,134883,50066,5,1,1,1
500415,ACCESS_Q2,139882,50002,3,1,0,1
500416,ACCESS_Q2,135301,50032,3,1,0,1
500417,ACCESS_Q1,117993,50001,5,1,1,1
500418,ACCESS_Q3,140109,50057,5,1,1,1
500419,ACCESS_Q3,136405,50069,5,1,1,1
500420,ACCESS_Q2,144093,50058,5,1,1,1
500421,ACCESS_Q1,127452,50057,5,1,1,1
500422,ACCESS_Q4,115224,50015,4,1,0,1
500423,ACCESS_Q3,134886,50052,4,1,0,1
500424,ACCESS_Q4,118741,50021,3,1,0,1
500425,ACCESS_Q4,125302,50002,5,1,1,1
500426,ACCESS_Q2,141317,50066,5,1,1,1
500427,ACCESS_Q4,118561,50067,4,1,0,1
500428,ACCESS_Q1,123152,50041,5,1,1,1
500429,ACCESS_Q3,122056,50059,5,1,1,1
500430,ACCESS_Q1,126763,50055,4,1,0,1
500431,ACCESS_Q4,133836,50018,5,1,1,1
500432,ACCESS_Q2,131435,50007,4,1,0,1
500433,OTHER_Q1,120899,50067,5,1,1,1
500434,ACCESS_Q2,132083,50007,5,1,1,1
500435,ACCESS_Q2,128379,50049,5,1,1,1
500436,ACCESS_Q1,128571,50054,5,1,1,1
500437,ACCESS_Q1,117442,50076,5,1,1,1
500438,ACCESS_Q1,122760,50023,5,1,1,1
500439,ACCESS_Q1,124683,50075,5,1,1,1
500440,ACCESS_Q4,119901,50018,5,1,1,1
500441,ACCESS_Q4,133744,50065,5,1,1,1
500442,ACCESS_Q2,144752,50069,5,1,1,1
500443,ACCESS_Q3,130615,50077,4,1,0,1
500444,ACCESS_Q3,129642,50038,5,1,1,1
500445,ACCESS_Q1,135283,50041,5,1,1,1
500446,ACCESS_Q4,121028,50045,5,1,1,1
500447,ACCESS_Q3,123157,50035,5,1,1,1
500448,ACCESS_Q4,119606,50025,1,1,0,1
500449,ACCESS_Q2,143130,50045,5,1,1,1
500450,ACCESS_Q1,141649,50039,4,1,0,1
500451,ACCESS_Q3,122002,50040,5,1,1,1
500452,ACCESS_Q3,123013,50039,4,1,0,1
500453,ACCESS_Q3,126952,50027,5,1,1,1
500454,ACCESS_Q2,138073,50026,4,1,0,1
500455,ACCESS_Q4,118648,50011,4,1,0,1
500456,ACCESS_Q2,143893,50029,4,1,0,1
500457,ACCESS_Q2,125318,50067,5,1,1,1
500458,ACCESS_Q4,121685,50049,2,1,0,1
500459,ACCESS_Q3,122214,50056,5,1,1,1
500460,OTHER_Q1,137729,50022,4,1,0,1
500461,ACCESS_Q1,139825,50045,4,1,0,1
500462,ACCESS_Q4,132595,50077,5,1,1,1
500463,OTHER_Q1,124722,50045,5,1,1,1
500464,ACCESS_Q4,131459,50035,5,1,1,1
500465,ACCESS_Q1,117450,50045,4,1,0,1
500466,ACCESS_Q3,124763,50067,4,1,0,1
500467,ACCESS_Q3,128440,50059,5,1,1,1
500468,ACCESS_Q4,144446,50006,5,1,1,1
500469,ACCESS_Q2,115066,50045,4,1,0,1
500470,ACCESS_Q2,132717,50065,5,1,1,1
500471,ACCESS_Q4,117426,50044,5,1,1,1
500472,ACCESS_Q1,114194,50063,3,1,0,1
500473,ACCESS_Q3,126474,50004,3,1,0,1
500474,ACCESS_Q1,130996,50032,5,1,1,1
500475,ACCESS_Q2,133560,50007,4,1,0,1
500476,ACCESS_Q4,114704,50044,5,1,1,1
500477,ACCESS_Q2,135478,50040,5,1,1,1
500478,ACCESS_Q4,139721,50015,5,1,1,1
500479,ACCESS_Q1,113957,50044,5,1,1,1
500480,ACCESS_Q4,124498,50029,5,1,1,1
500481,ACCESS_Q2,131370,50029,5,1,1,1
500482,ACCESS_Q4,116981,50003,5,1,1,1
500483,ACCESS_Q4,120108,50068,5,1,1,1
500484,ACCESS_Q4,131574,50050,5,1,1,1
500485,OTHER_Q1,133717,50036,5,1,1,1
500486,ACCESS_Q4,133784,50066,5,1,1,1
500487,OTHER_Q1,138709,50045,3,1,0,1
500488,ACCESS_Q4,140647,50074,5,1,1,1
500489,ACCESS_Q2,115822,50080,5,1,1,1
500490,ACCESS_Q4,136244,50065,5,1,1,1
500491,ACCESS_Q4,137099,50072,4,1,0,1
500492,ACCESS_Q2,114563,50027,1,1,0,1
500493,ACCESS_Q1,119448,50066,5,1,1,1
500494,ACCESS_Q3,115901,50022,5,1,1,1
500495,ACCESS_Q1,133123,50059,4,1,0,1
500496,ACCESS_Q3,117869,50010,5,1,1,1
500497,ACCESS_Q3,126919,50075,4,1,0,1
500498,OTHER_Q1,121461,50041,5,1,1,1
500499,ACCESS_Q3,118020,50066,5,1,1,1
500500,ACCESS_Q1,125099,50045,1,1,0,1
500501,ACCESS_Q2,132076,50056,5,1,1,1
500502,ACCESS_Q1,117015,50022,5,1,1,1
500503,ACCESS_Q1,138196,50062,5,1,1,1
500504,ACCESS_Q4,130544,50045,5,1,1,1
500505,ACCESS_Q3,124735,50029,4,1,0,1
500506,ACCESS_Q2,115415,50033,5,1,1,1
500507,ACCESS_Q4,126255,50031,5,1,1,1
500508,ACCESS_Q2,114790,50010,3,1,0,1
500509,ACCESS_Q2,141757,50008,4,1,0,1
500510,ACCESS_Q4,122102,50032,5,1,1,1
500511,ACCESS_Q3,121566,50018,3,1,0,1
500512,ACCESS_Q2,126539,50020,5,1,1,1
500513,ACCESS_Q1,121349,50045,5,1,1,1
500514,ACCESS_Q1,121212,50049,5,1,1,1
500515,ACCESS_Q3,135986,50026,4,1,0,1
